feature,importance
nox,15.30625692267592
chas,4.196872606046814
rm,3.263937670596668
dis,1.814617553103655
ptratio,0.7411540933562337
lstat,0.6335438437518832
rad,0.3869926126820441
crim,0.074419221064022
zn,0.06078088955565869
indus,0.01956719682083318
tax,0.014527434355782257
age,0.010335312813024243
black,0.007749999878061065
